2024-11-07 13:49:43 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=461 | SECTION=0 | START_TIME=2024-06-11 23:05:11 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:43 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=462 | SECTION=0 | START_TIME=2024-06-11 23:33:44 | LOG_ENTRY=데이터 개수가 15여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:43 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=463 | SECTION=0 | START_TIME=2024-06-12 06:46:43 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:43 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=464 | SECTION=0 | START_TIME=2024-06-12 07:18:04 | LOG_ENTRY=데이터 개수가 17여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:43 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=465 | SECTION=0 | START_TIME=2024-06-12 07:35:38 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:43 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=466 | SECTION=0 | START_TIME=2024-06-12 09:11:37 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:49 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=467 | SECTION=0 | START_TIME=2024-06-12 10:01:36 | LOG_ENTRY=해당 OP_TIME은 DEBALLAST입니다. | TYPE=PREPROCESSING | is_processed=False
2024-11-07 13:49:49 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=468 | SECTION=0 | START_TIME=2024-06-12 12:56:23 | LOG_ENTRY=데이터 개수가 22여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:49 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=469 | SECTION=0 | START_TIME=2024-06-12 13:38:00 | LOG_ENTRY=데이터 개수가 27여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:49 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=470 | SECTION=0 | START_TIME=2024-06-12 14:34:10 | LOG_ENTRY=데이터 개수가 27여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:49 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=471 | SECTION=0 | START_TIME=2024-06-12 15:01:37 | LOG_ENTRY=데이터 개수가 27여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:49 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=473 | SECTION=0 | START_TIME=2024-06-12 17:12:12 | LOG_ENTRY=데이터 개수가 16여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:49 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=474 | SECTION=0 | START_TIME=2024-06-12 17:36:26 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
