2024-12-16 15:42:18 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=79 | SECTION=0 | START_TIME=2023-09-07 06:07:27 | LOG_ENTRY=The data length is 18 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:19 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=80 | SECTION=0 | START_TIME=2023-09-12 10:44:36 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:19 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=81 | SECTION=0 | START_TIME=2023-09-12 11:05:22 | LOG_ENTRY=The data length is 3 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:19 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=82 | SECTION=0 | START_TIME=2023-09-12 11:13:03 | LOG_ENTRY=The data length is 14 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:20 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=83 | SECTION=0 | START_TIME=2023-09-12 11:27:22 | LOG_ENTRY=The data length is 9 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:20 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=84 | SECTION=0 | START_TIME=2023-09-12 11:52:59 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:20 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=85 | SECTION=0 | START_TIME=2023-09-12 12:13:40 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:21 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=86 | SECTION=0 | START_TIME=2023-09-12 12:34:40 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:21 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=87 | SECTION=0 | START_TIME=2023-09-12 12:55:42 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:21 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=88 | SECTION=0 | START_TIME=2023-09-12 13:16:38 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:22 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=89 | SECTION=0 | START_TIME=2023-09-12 13:37:36 | LOG_ENTRY=The data length is 15 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:22 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=90 | SECTION=0 | START_TIME=2023-09-12 13:52:51 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:42:22 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=91 | SECTION=0 | START_TIME=2023-09-12 14:13:49 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
