2024-12-10 14:02:07 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=1 | SECTION=0 | START_TIME=2022-04-18 08:52:17 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:08 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=2 | SECTION=0 | START_TIME=2022-04-18 08:57:52 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:08 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=3 | SECTION=0 | START_TIME=2022-04-18 09:03:26 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:08 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=4 | SECTION=0 | START_TIME=2022-04-18 09:09:07 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:09 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=5 | SECTION=0 | START_TIME=2022-04-18 09:14:43 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:09 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=6 | SECTION=0 | START_TIME=2022-04-18 09:20:12 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:09 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=7 | SECTION=0 | START_TIME=2022-04-18 09:25:44 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:09 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=8 | SECTION=0 | START_TIME=2022-04-18 09:31:20 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:10 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=9 | SECTION=0 | START_TIME=2022-04-18 09:37:00 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:10 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=10 | SECTION=0 | START_TIME=2022-04-18 09:42:37 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:10 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=11 | SECTION=0 | START_TIME=2022-04-18 09:49:01 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:11 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=12 | SECTION=0 | START_TIME=2022-04-18 09:54:55 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:11 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=13 | SECTION=0 | START_TIME=2022-04-18 10:00:36 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:11 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=14 | SECTION=0 | START_TIME=2022-04-18 10:11:37 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:11 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=15 | SECTION=0 | START_TIME=2022-04-18 11:18:52 | LOG_ENTRY=데이터 개수가 99여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:12 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=16 | SECTION=0 | START_TIME=2022-04-18 11:18:51 | LOG_ENTRY=데이터 개수가 134여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:12 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=17 | SECTION=0 | START_TIME=2022-04-18 10:06:07 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:12 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=18 | SECTION=0 | START_TIME=2022-04-18 10:17:13 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:13 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=19 | SECTION=0 | START_TIME=2022-04-18 10:22:47 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:13 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=20 | SECTION=0 | START_TIME=2022-04-18 10:28:20 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:13 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=21 | SECTION=0 | START_TIME=2022-04-18 10:34:00 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:13 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=22 | SECTION=0 | START_TIME=2022-04-18 10:39:34 | LOG_ENTRY=데이터 개수가 5여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:14 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=23 | SECTION=0 | START_TIME=2022-04-18 10:45:08 | LOG_ENTRY=데이터 개수가 4여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:14 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=24 | SECTION=0 | START_TIME=2022-04-18 13:35:46 | LOG_ENTRY=데이터 개수가 7여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:14 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=25 | SECTION=0 | START_TIME=2022-04-20 00:32:19 | LOG_ENTRY=데이터 개수가 60여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:14 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=26 | SECTION=0 | START_TIME=2022-04-20 02:11:07 | LOG_ENTRY=데이터 개수가 51여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:15 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=27 | SECTION=0 | START_TIME=2022-04-20 04:17:12 | LOG_ENTRY=데이터 개수가 43여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:15 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=28 | SECTION=0 | START_TIME=2022-04-20 23:11:17 | LOG_ENTRY=데이터 개수가 82여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:15 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=29 | SECTION=0 | START_TIME=2022-04-21 00:33:17 | LOG_ENTRY=데이터 개수가 94여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:16 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=30 | SECTION=0 | START_TIME=2022-04-20 23:11:15 | LOG_ENTRY=get_dataframe_from_database() missing 1 required positional argument: 'table_name' | TYPE=MAIN | is_processed=False
2024-12-10 14:02:16 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=31 | SECTION=0 | START_TIME=2022-04-21 23:23:41 | LOG_ENTRY=get_dataframe_from_database() missing 1 required positional argument: 'table_name' | TYPE=MAIN | is_processed=False
2024-12-10 14:02:16 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=32 | SECTION=0 | START_TIME=2022-04-22 03:46:55 | LOG_ENTRY=get_dataframe_from_database() missing 1 required positional argument: 'table_name' | TYPE=MAIN | is_processed=False
2024-12-10 14:02:17 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=33 | SECTION=0 | START_TIME=2022-04-22 07:11:56 | LOG_ENTRY=데이터 개수가 40여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:17 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=34 | SECTION=0 | START_TIME=2022-05-02 23:19:37 | LOG_ENTRY=데이터 개수가 38여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:17 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=35 | SECTION=0 | START_TIME=2022-05-06 06:31:36 | LOG_ENTRY=데이터 개수가 16여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:18 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=36 | SECTION=0 | START_TIME=2022-05-06 06:31:35 | LOG_ENTRY=데이터 개수가 7여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:18 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=37 | SECTION=0 | START_TIME=2022-05-06 06:49:36 | LOG_ENTRY=데이터 개수가 85여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:18 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=38 | SECTION=0 | START_TIME=2022-05-06 06:42:35 | LOG_ENTRY=데이터 개수가 133여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:19 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=39 | SECTION=0 | START_TIME=2022-05-06 08:58:31 | LOG_ENTRY=데이터 개수가 49여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:19 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=40 | SECTION=0 | START_TIME=2022-05-06 08:58:31 | LOG_ENTRY=데이터 개수가 51여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:19 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=41 | SECTION=0 | START_TIME=2022-05-06 09:57:16 | LOG_ENTRY=데이터 개수가 21여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:20 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=42 | SECTION=0 | START_TIME=2022-05-06 09:57:15 | LOG_ENTRY=데이터 개수가 42여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:20 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=43 | SECTION=0 | START_TIME=2022-05-06 11:48:29 | LOG_ENTRY=데이터 개수가 35여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:20 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=44 | SECTION=0 | START_TIME=2022-05-06 11:48:29 | LOG_ENTRY=데이터 개수가 35여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:20 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=45 | SECTION=0 | START_TIME=2022-05-06 12:33:22 | LOG_ENTRY=데이터 개수가 19여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:21 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=46 | SECTION=0 | START_TIME=2022-05-06 12:33:22 | LOG_ENTRY=데이터 개수가 125여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
